address,search_key,suburb,street_id,street_name,street_key,latitude,longitude
1 Collins Street Melbourne,1 collins street melbourne,Central City,526,Collins Street,Central City|526,-37.81350712,144.97380023
1 Colonial Place Kensington,1 colonial place kensington,Kensington,1406,Colonial Place,Kensington|1406,-37.79103792,144.92278276
1 Commercial Road Melbourne,1 commercial road melbourne,Central City,529,Commercial Road,Central City|529,-37.84505984,144.97918503
1 Commissioners Lane Docklands,1 commissioners lane docklands,Docklands,119552,Commissioners Lane,Docklands|119552,-37.81952412,144.95409304
1 Contractors Lane East Melbourne,1 contractors lane east melbourne,East Melbourne,1548,Contractors Lane,East Melbourne|1548,-37.81027706,144.98723574
1 Cook Street Southbank,1 cook street southbank,Southbank,1386,Cook Street,Southbank|1386,-37.82159064,144.96387774
1 Coopers Lane Kensington,1 coopers lane kensington,Kensington,1408,Coopers Lane,Kensington|1408,-37.79070109,144.92408403
1 Cornell Place Carlton,1 cornell place carlton,Carlton,534,Cornell Place,Carlton|534,-37.80517114,144.96409075
1 Cornish Lane Kensington,1 cornish lane kensington,Kensington,2944,Cornish Lane,Kensington|2944,-37.79395189,144.92060181
1 Coromandel Place Melbourne,1 coromandel place melbourne,Central City,535,Coromandel Place,Central City|535,-37.81348703,144.96929313
1 Corrs Lane Melbourne,1 corrs lane melbourne,Central City,538,Corrs Lane,Central City|538,-37.81153726,144.96839963
1 Court House Place Carlton,1 court house place carlton,Carlton,3003,Court House Place,Carlton|3003,-37.79762129,144.96876268
1 Courtney Place North Melbourne,1 courtney place north melbourne,North and West Melbourne,540,Courtney Place,North and West Melbourne|540,-37.79983222,144.95156525
1 Courtney Street North Melbourne,1 courtney street north melbourne,North and West Melbourne,541,Courtney Street,North and West Melbourne|541,-37.80324414,144.95530922
1 Coventry Street Southbank,1 coventry street southbank,Southbank,1360,Coventry Street,Southbank|1360,-37.82888072,144.97094087
1 Coverlid Place Melbourne,1 coverlid place melbourne,Central City,542,Coverlid Place,Central City|542,-37.81228308,144.96849845
1 Crichton Lane Kensington,1 crichton lane kensington,Kensington,1297,Crichton Lane,Kensington|1297,-37.79269165,144.92228571
1 Crossley Street Melbourne,1 crossley street melbourne,Central City,545,Crossley Street,Central City|545,-37.81171831,144.97122260
1 Cuffe Walk Kensington,1 cuffe walk kensington,Kensington,1409,Cuffe Walk,Kensington|1409,-37.79049092,144.92327781
1 Cullens Lane North Melbourne,1 cullens lane north melbourne,North and West Melbourne,1226,Cullens Lane,North and West Melbourne|1226,-37.80190797,144.94942361
1 Curran Lane North Melbourne,1 curran lane north melbourne,North and West Melbourne,2590,Curran Lane,North and West Melbourne|2590,-37.79174336,144.94280973
1 Curran Place North Melbourne,1 curran place north melbourne,North and West Melbourne,549,Curran Place,North and West Melbourne|549,-37.79279262,144.94394227
1 Curran Street North Melbourne,1 curran street north melbourne,North and West Melbourne,550,Curran Street,North and West Melbourne|550,-37.79258657,144.94465763
1 Curzon Place North Melbourne,1 curzon place north melbourne,North and West Melbourne,1228,Curzon Place,North and West Melbourne|1228,-37.80384994,144.94820500
1 Curzon Street West Melbourne,1 curzon street west melbourne,North and West Melbourne,552,Curzon Street,North and West Melbourne|552,-37.80652162,144.94734467
1 Dallas Brooks Drive Melbourne,1 dallas brooks drive melbourne,Central City,1230,Dallas Brooks Drive,Central City|1230,-37.83318543,144.97613782
1 Dame Edna Place Melbourne,1 dame edna place melbourne,Central City,119319,Dame Edna Place,Central City|119319,-37.81542967,144.96461274
1 Darcy Lane Kensington,1 darcy lane kensington,Kensington,1410,Darcy Lane,Kensington|1410,-37.79078214,144.92376454
1 Darling Street East Melbourne,1 darling street east melbourne,East Melbourne,556,Darling Street,East Melbourne|556,-37.81330876,144.98946957
1 David Street Carlton,1 david street carlton,Carlton,558,David Street,Carlton|558,-37.79725632,144.97184088
1 Davis Street Kensington,1 davis street kensington,Kensington,119641,Davis Street,Kensington|119641,-37.78997174,144.93079804
1 Davisons Place Melbourne,1 davisons place melbourne,Central City,559,Davisons Place,Central City|559,-37.80952475,144.96747275
1 Day Street South Yarra,1 day street south yarra,South Yarra,562,Day Street,South Yarra|562,-37.83473330,144.98041395
1 De Feu Street North Melbourne,1 de feu street north melbourne,North and West Melbourne,564,De Feu Street,North and West Melbourne|564,-37.80169086,144.94324421
1 Degraves Street Melbourne,1 degraves street melbourne,Central City,566,Degraves Street,Central City|566,-37.81773134,144.96592889
1 Degraves Street Parkville,1 degraves street parkville,Parkville,567,Degraves Street,Parkville|567,-37.79378263,144.95790924
1 Dennys Lane Kensington,1 dennys lane kensington,Kensington,2035,Dennys Lane,Kensington|2035,-37.79508070,144.92132718
1 Derby Street Kensington,1 derby street kensington,Kensington,569,Derby Street,Kensington|569,-37.79531169,144.92673482
1 Deveney Street Kensington,1 deveney street kensington,Kensington,119672,Deveney Street,Kensington|119672,-37.78934024,144.92767272
1 Devon Street Kensington,1 devon street kensington,Kensington,3172,Devon Street,Kensington|3172,-37.79621724,144.92378441
1 Digital Drive Docklands,1 digital drive docklands,Docklands,120095,Digital Drive,Docklands|120095,-37.81432312,144.94676217
1 Dodds Street Southbank,1 dodds street southbank,Southbank,1355,Dodds Street,Southbank|1355,-37.82392025,144.96869240
1 Doepel Way Docklands,1 doepel way docklands,Docklands,117914,Doepel Way,Docklands|117914,-37.81425681,144.93967997
1 Domain Road Melbourne,1 domain road melbourne,Central City,572,Domain Road,Central City|572,-37.83300735,144.97306799
1 Domain Street South Yarra,1 domain street south yarra,South Yarra,574,Domain Street,South Yarra|574,-37.83713257,144.97807130
1 Donovans Lane North Melbourne,1 donovans lane north melbourne,North and West Melbourne,1236,Donovans Lane,North and West Melbourne|1236,-37.79723124,144.94500934
1 Dorrit Street Carlton,1 dorrit street carlton,Carlton,575,Dorrit Street,Carlton|575,-37.80049579,144.96615732
1 Douglas Street Port Melbourne,1 douglas street port melbourne,Fishermans Bend,1392,Douglas Street,Fishermans Bend|1392,-37.82714389,144.92488030
1 Dowling Place North Melbourne,1 dowling place north melbourne,North and West Melbourne,1237,Dowling Place,North and West Melbourne|1237,-37.80099435,144.95362581
1 Downie Street Melbourne,1 downie street melbourne,Central City,577,Downie Street,Central City|577,-37.82062898,144.95586615
1 Drewery Alley Melbourne,1 drewery alley melbourne,Central City,578,Drewery Alley,Central City|578,-37.81094191,144.96391004
1 Drewery Lane Melbourne,1 drewery lane melbourne,Central City,580,Drewery Lane,Central City|580,-37.81079692,144.96387119
1 Drewery Place Melbourne,1 drewery place melbourne,Central City,579,Drewery Place,Central City|579,-37.81112625,144.96399533
1 Driver Lane Melbourne,1 driver lane melbourne,Central City,581,Driver Lane,Central City|581,-37.81280718,144.96293579
1 Druce Lane Carlton,1 druce lane carlton,Carlton,120044,Druce Lane,Carlton|120044,-37.79494882,144.97458667
1 Drummond Place Carlton,1 drummond place carlton,Carlton,582,Drummond Place,Carlton|582,-37.80384885,144.96769705
1 Drummond Street Carlton,1 drummond street carlton,Carlton,583,Drummond Street,Carlton|583,-37.80695464,144.96720345
1 Dryburgh Street West Melbourne,1 dryburgh street west melbourne,North and West Melbourne,585,Dryburgh Street,North and West Melbourne|585,-37.80707393,144.94258869
1 Duckboard Place Melbourne,1 duckboard place melbourne,Central City,1240,Duckboard Place,Central City|1240,-37.81530333,144.97122748
1 Dudley Street West Melbourne,1 dudley street west melbourne,North and West Melbourne,586,Dudley Street,North and West Melbourne|586,-37.80884389,144.95427181
1 Durham Street Kensington,1 durham street kensington,Kensington,587,Durham Street,Kensington|587,-37.79590297,144.92832647
1 Dynon Road West Melbourne,1 dynon road west melbourne,North and West Melbourne,588,Dynon Road,North and West Melbourne|588,-37.80636808,144.93958242
1 Eades Street East Melbourne,1 eades street east melbourne,East Melbourne,590,Eades Street,East Melbourne|590,-37.80994475,144.98079430
1 Eagle Alley Melbourne,1 eagle alley melbourne,Central City,591,Eagle Alley,Central City|591,-37.81321549,144.95492872
1 Earl Street Carlton,1 earl street carlton,Carlton,592,Earl Street,Carlton|592,-37.80613581,144.96578909
1 Eastwood Street Kensington,1 eastwood street kensington,Kensington,594,Eastwood Street,Kensington|594,-37.78863964,144.92970376
1 Elgin Place Carlton,1 elgin place carlton,Carlton,2014,Elgin Place,Carlton|2014,-37.79650035,144.96508421
1 Elgin Street Carlton,1 elgin street carlton,Carlton,598,Elgin Street,Carlton|598,-37.79804475,144.97445934
1 Elizabeth Street Kensington,1 elizabeth street kensington,Kensington,600,Elizabeth Street,Kensington|600,-37.79658133,144.93267930
1 Elizabeth Street Melbourne,1 elizabeth street melbourne,Central City,599,Elizabeth Street,Central City|599,-37.81807508,144.96473494
1 Elm Place North Melbourne,1 elm place north melbourne,North and West Melbourne,1245,Elm Place,North and West Melbourne|1245,-37.80351609,144.94589076
1 Elm Street North Melbourne,1 elm street north melbourne,North and West Melbourne,602,Elm Street,North and West Melbourne|602,-37.80390982,144.94730138
1 Elm Tree Place Carlton,1 elm tree place carlton,Carlton,603,Elm Tree Place,Carlton|603,-37.80528620,144.96825512
1 Emu Lane Parkville,1 emu lane parkville,Parkville,117896,Emu Lane,Parkville|117896,-37.78847263,144.94154053
1 Encounter Way Docklands,1 encounter way docklands,Docklands,119689,Encounter Way,Docklands|119689,-37.82009696,144.94570897
1 Enterprize Way Docklands,1 enterprize way docklands,Docklands,117951,Enterprize Way,Docklands|117951,-37.81948458,144.94439745
1 Epsom Road Kensington,1 epsom road kensington,Kensington,605,Epsom Road,Kensington|605,-37.79403869,144.92747975
1 Equitable Place Melbourne,1 equitable place melbourne,Central City,606,Equitable Place,Central City|606,-37.81624889,144.96335201
1 Errol Place North Melbourne,1 errol place north melbourne,North and West Melbourne,608,Errol Place,North and West Melbourne|608,-37.80453891,144.94872483
1 Errol Street North Melbourne,1 errol street north melbourne,North and West Melbourne,607,Errol Street,North and West Melbourne|607,-37.80493871,144.94911725
1 Erskine Place North Melbourne,1 erskine place north melbourne,North and West Melbourne,610,Erskine Place,North and West Melbourne|610,-37.79451274,144.94343026
1 Erskine Street North Melbourne,1 erskine street north melbourne,North and West Melbourne,611,Erskine Street,North and West Melbourne|611,-37.79519629,144.94665273
1 Evans Lane Melbourne,1 evans lane melbourne,Central City,613,Evans Lane,Central City|613,-37.80899014,144.96868650
1 Exhibition Street Melbourne,1 exhibition street melbourne,Central City,615,Exhibition Street,Central City|615,-37.81590329,144.97215060
