scientific_name,family,order,lga_occurrence_count,suburb_count,suburbs,exact_local_species_evidence,evidence_level,classification_basis
Odontomyia decipiens,Stratiomyidae,Diptera,4,2,Kensington|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Oedemopsis hobartensis,Ichneumonidae,Hymenoptera,1,1,West Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Papyrius nitidus,Formicidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Paraphylax mirax,Ichneumonidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Paratillus carus,Cleridae,Coleoptera,1,1,Melbourne,True,exact_species_label,species labelled pol=1 in supplied Melbourne functional-group study
Phytodietus celisissimus,Ichneumonidae,Hymenoptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Pleistodontes froggatti,Agaonidae,Hymenoptera,1,1,Carlton,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Poecilocryptus nigromaculatus,Ichneumonidae,Hymenoptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Pogonortalis doclea,Platystomatidae,Diptera,21,7,East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Southbank|West Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Polistes chinensis,Vespidae,Hymenoptera,14,5,Carlton|Melbourne|North Melbourne|Parkville|Port Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Polistes dominulus,Vespidae,Hymenoptera,14,6,Carlton|Kensington|Melbourne|Parkville|Southbank|West Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Polistes humilis,Vespidae,Hymenoptera,15,4,Docklands|Kensington|Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Polyrhachis femorata,Formicidae,Hymenoptera,4,2,Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Polyrhachis phryne,Formicidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Rhytidoponera metallica,Formicidae,Hymenoptera,29,2,Carlton|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
